LTL_Picker,LTL_Lines,Date
79,60,6/2/2006
en,12,6/5/2006
176,478,6/5/2006
278,79,6/5/2006
248,79,6/5/2006
415,34,6/5/2006
9000,32,6/5/2006
176,79,6/5/2006
230,54,6/5/2006
203,79,6/5/2006
en,18,6/6/2006
176,485,6/6/2006
278,200,6/6/2006
248,200,6/6/2006
230,200,6/6/2006
101,100,6/6/2006
415,50,6/6/2006
9000,49,6/6/2006
176,65,6/6/2006
101,71,6/6/2006
415,114,6/6/2006
9000,151,6/6/2006
203,53,6/6/2006
en,7,6/7/2006
176,467,6/7/2006
101,100,6/7/2006
278,150,6/7/2006
248,150,6/7/2006
230,150,6/7/2006
415,75,6/7/2006
9000,40,6/7/2006
278,169,6/7/2006
248,169,6/7/2006
230,169,6/7/2006
176,71,6/7/2006
en,13,6/8/2006
176,490,6/8/2006
278,150,6/8/2006
248,150,6/8/2006
230,150,6/8/2006
9000,36,6/8/2006
415,50,6/8/2006
278,144,6/8/2006
248,145,6/8/2006
230,145,6/8/2006
176,10,6/8/2006
415,27,6/8/2006
9001,27,6/8/2006
EN,3,6/9/2006
176,460,6/9/2006
278,150,6/9/2006
248,150,6/9/2006
230,150,6/9/2006
415,75,6/9/2006
101,100,6/9/2006
9000,30,6/9/2006
230.,46,6/9/2006
415,250,6/9/2006
9000,150,6/9/2006
176,40,6/9/2006
79,22,6/9/2006
9001,32,6/9/2006
278,100,6/12/2006
278,50,6/12/2006
248,100,6/12/2006
248,50,6/12/2006
230,100,6/12/2006
230,50,6/12/2006
176,478,6/12/2006
176,34,6/12/2006
101,100,6/12/2006
415,48,6/12/2006
415,179,6/12/2006
415,9,6/12/2006
502,38,6/12/2006
en,8,6/12/2006
en,5,6/13/2006
EN,13,2/22/2006
176,483,2/22/2006
209,173,2/22/2006
248,167,2/22/2006
278,171,2/22/2006
230,178,2/22/2006
0176,17,2/22/2006
8000,151,2/22/2006
209,54,2/22/2006
248,54,2/22/2006
278,54,2/22/2006
230,57,2/22/2006
209,11,2/22/2006
248,11,2/22/2006
278,10,2/22/2006
230,11,2/22/2006
en,9,2/23/2006
176,410,2/23/2006
209,150,2/23/2006
278,150,2/23/2006
248,150,2/23/2006
230,150,2/23/2006
278,101,2/23/2006
101,126,2/23/2006
79,124,2/23/2006
8000,150,2/23/2006
8001,100,2/23/2006
176,140,2/23/2006
101,66,2/23/2006
446,66,2/23/2006
176,500,2/24/2006
209,120,2/24/2006
278,120,2/24/2006
248,120,2/24/2006
101,120,2/24/2006
en,10,2/24/2006
79,95,2/24/2006
8000,150,2/24/2006
8001,75,2/24/2006
79,54,2/24/2006
